"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","Diabetes_Incidence","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"152",10.2,93.1,5.5,2.5,4.5,8.5,5.2,34.4,0.4,15.2,166.52,3,11.6,29,6.6,0.1182611986,0.181,7.8,0.152,0.0627356581,0.1015553353,0.069970147,0.490551587,0.238984206,0.001585308,0.999562861,"California"
"153",11.8,94.2,10.7,1.8,3.9,8.1,9.8,15.7,0.7,23.2,144.53,7.6,12.1,22.1,8.9,0.1544768872,0.276,7.4,0.183,0.0719905611,0.1253032663,0.068393797,0.511493866,0.18902068,0.000815274,0.910191657,"California"
"154",13.2,94.1,5.1,2.1,5.7,12.6,0.8,4.5,0.8,12.8,151.3,4.1,17,15.2,6.4,0.1129312585,0.187,7.9,0.172,0.0621665818,0.1099345121,0.064806481,0.500880808,0.22174813,0.000748162,0.84509936,"California"
"155",8.8,90.5,9.6,1.9,3.6,7.7,2.6,5.6,0.7,58.7,129.22,5.9,11.1,21.6,8.2,0.2244785995,0.246,8.7,0.172,0.1194934648,0.1236516151,0.059181404,0.490570546,0.175737807,0.000587696,0.902408585,"California"
"156",9.9,94.9,7.8,1.8,4,7.9,5,11.9,0.7,33.7,151.19,5.9,11.7,24.2,7.8,0.1306946896,0.201,8.3,0.155,0.0948831846,0.111223271,0.064767067,0.497163288,0.2188116,0.000784659,0.931829188,"California"
"157",12.1,87.6,20.4,1.4,3.2,6.6,1.6,3.6,1.3,64.6,121.14,9.2,9.8,21.5,10.2,0.2661324539,0.334,7.8,0.222,0.112012774,0.157733915,0.064844329,0.500335551,0.177823562,0.000432738,0.586072609,"California"
"158",16.5,91.1,10.5,2.1,4.3,10.9,1.1,3.1,5,11.6,147.09,6.5,13.6,22.8,7.4,0.1648021378,0.275,6.9,0.162,0.0893508881,0.1527977715,0.055933992,0.501053818,0.203880968,0.000663096,0.696678874,"California"
"159",13,89.8,15.8,1.5,4,8.4,3.2,2.1,1.6,57.8,122.32,7.5,11.2,20.9,9.4,0.2285716595,0.263,7.7,0.196,0.1301505594,0.142694435,0.063631343,0.517062387,0.170854166,0.000400005,0.741795645,"California"
"160",12,92.4,7.4,1.6,4.1,10,1.1,4.8,0.5,33.6,152.22,4.7,13.6,22.2,5.7,0.1636196586,0.182,8.1,0.144,0.0780737477,0.11555175,0.056251186,0.504752924,0.199699779,0.000973934,0.936611505,"California"
"161",20.9,81.6,12.2,2.2,8.4,16.3,1,1.8,5.6,7.3,138.07,7.6,19,11.4,6.9,0.1735416229,0.243,6.8,0.193,0.0870595508,0.1533494556,0.056410256,0.486778282,0.16462101,0.000229551,0.887784709,"California"
"162",11.6,92.7,10.4,1.7,4.4,8,6.5,6.5,0.8,48.9,134.82,6.4,11.3,20.9,9.6,0.1916145726,0.258,8.3,0.212,0.1086030431,0.1235872909,0.065665724,0.502518908,0.193933842,0.000420156,0.88020091,"California"
"163",11,93,12.7,1.2,3.2,6.9,8.3,7.2,0.8,53.3,133.41,8.2,11.2,22.8,11.1,0.1974832113,0.273,8.1,0.213,0.09659272,0.1305438795,0.072135208,0.502751746,0.17813583,0.000570923,0.842731217,"California"
"164",9.1,95,3.8,2.5,6.4,12.6,2.2,5.9,0.4,16,171.39,4.6,15.3,13.2,6,0.110283905,0.181,8.5,0.12,0.0624398478,0.0966976422,0.059742647,0.512121573,0.198849193,0.001462363,0.936420651,"California"
"165",10.6,95.2,5.5,2.3,5.9,10.9,1.7,7.5,0.5,14,155.7,4.6,13.5,16.2,6,0.1073686937,0.207,8.3,0.148,0.0538785458,0.0971520434,0.056592207,0.513085662,0.2088014,0.001196086,0.782850025,"California"
"166",18.3,89.3,11,2.3,6,11.9,1.2,3.2,2.7,10,141.14,5.9,14.7,18.5,8,0.1493934321,0.24,6.7,0.193,0.0856041781,0.1431330477,0.061524774,0.50985075,0.18664102,0.000729671,0.775379042,"California"
"167",12.3,94.4,7.2,1.8,4.1,9.3,13.9,15.4,0.5,26.5,141.88,7.1,13.5,21.2,8.1,0.1483002348,0.295,7.8,0.191,0.0595949649,0.1176509788,0.066863922,0.503365462,0.18076555,0.000825514,0.927493807,"California"
"168",12.2,86.8,10.3,1.5,4.1,8.7,1.5,1.4,1,59.4,120.82,8.1,12.2,19.7,7.1,0.1946637885,0.268,8.4,0.186,0.1227161167,0.123601661,0.065096953,0.48721512,0.184138094,0.000372405,0.703674308,"California"
"169",12.7,86.7,16.1,1.8,3.7,8.1,72.6,0.8,0.1,1.5,144.9,11.3,12.5,22.4,11.7,0.2207427361,0.361,4.9,0.325,0.128607538,0.1927486223,0.150814638,0.533198745,0.124153318,0.00074519,0.72770043,"Mississippi"
"170",20,81.4,14.3,1.5,4.7,9.5,16.7,0.3,0.1,4.8,128.68,7.7,13.2,17.7,12.1,0.2228910624,0.337,7.1,0.363,0.1691341164,0.2006083882,0.118358759,0.508607481,0.136584984,0.000316298,0.576286434,"Mississippi"
"171",20.8,86.4,19.5,1.8,3.9,7.6,37.2,0.8,0.2,2.9,143.73,10.1,11,25.6,10.9,0.2013485957,0.351,6,0.298,0.1550895933,0.1914615843,0.116350113,0.524816068,0.149836672,0.000553039,0.92805669,"Mississippi"
"172",10.8,93.2,9.5,1.5,3.2,7.4,23.6,2.1,0.2,2.6,159.79,6,10.3,29.3,9.8,0.1910616439,0.309,5.7,0.297,0.1424846476,0.1848153628,0.0805404,0.513067886,0.171468866,0.000620838,0.724694304,"Mississippi"
"173",11.7,84.9,16.1,1.6,4.7,9.1,43.8,1,0.1,2,138.92,10.1,13.3,20.9,13.2,0.2122548565,0.356,6,0.297,0.1466317591,0.2061659607,0.105064655,0.524076373,0.129981211,0.000519176,0.573964101,"Mississippi"
"174",23.4,78.5,19.5,1.4,4.5,9,38.1,0.3,0.4,11.3,123.22,13.2,12.3,19,14.4,0.2601848522,0.377,6.6,0.373,0.2060299424,0.237089445,0.122976339,0.512638707,0.129099459,0.000141518,0.685642513,"Mississippi"
"175",24.8,75.9,24,1.9,3.7,7.2,59.6,0.4,0.3,4.6,126.27,11.9,11.1,24.7,8.7,0.2714596134,0.37,4,0.382,0.1476651452,0.2504802797,0.134584665,0.449787265,0.122936418,0.000182568,0.452877249,"Mississippi"
"176",19.3,77.4,28.3,1.7,3.8,9.4,64.2,0.9,0.1,2.2,135.87,13.4,12.5,20.9,12.4,0.2883650431,0.364,3.2,0.358,0.1467019059,0.230073669,0.135097877,0.533188747,0.107645978,0.000540184,0.519958998,"Mississippi"
