"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","mortalityrate","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"268",19.6,91.4,10,3.4,9.3,14.8,5.3,1.2,0.3,13.5,135.44,5,14.5,14.9,0.0738742042805124,0.1877396,0.31,6.7,0.272,0.1560268679,0.1708730507,0.087191139,0.519462904,0.171223285,0.000532395,0.818987371,"Florida"
"269",11.6,93.7,10.6,1.6,4,8.3,16.8,4.1,0.3,28.7,147.48,7.6,12,21.8,0.0208784539922388,0.1850178779,0.273,7.4,0.226,0.1474338825,0.1655315199,0.089589551,0.513054428,0.196326826,0.000841333,0.918427531,"Florida"
"270",21,82.5,16.9,1.2,6.7,11.8,20.1,0.8,0.3,6.4,123.44,5.9,13.6,19.3,0.101743513850992,0.2038056671,0.373,6.4,0.351,0.1471171648,0.2116808077,0.101004135,0.443066516,0.174269001,0.000355666,0.635046522,"Florida"
"271",14.7,92.6,8.6,1.2,4.2,9.2,15.1,0.5,0.2,3.7,135.68,6.2,14.6,17.7,0.0338868180277872,0.1693035228,0.357,7.8,0.285,0.1114282117,0.1906390478,0.079703833,0.451133478,0.226416267,0.000285397,0.854334546,"Florida"
"272",16.2,84.3,24,1.6,4.6,9.1,69.6,1,0.2,2.9,137.05,15.3,12.4,21.6,0.0756222395142641,0.2595742527,0.355,3.7,0.283,0.1682670508,0.2185222159,0.133821436,0.538009487,0.130104004,0.000875925,0.643398721,"Georgia"
"273",13.4,91.6,10.9,1.4,3.7,7.3,31,3.3,0.5,6.5,145.99,9.3,12,21.3,0.0218693115669362,0.1747619489,0.33,6.9,0.249,0.1257445147,0.1886071193,0.087440498,0.514166261,0.157701805,0.00049989,0.796847748,"Georgia"
"274",15,83.8,13.8,1.6,5.3,10.7,34.1,1,0.4,4.6,132.29,9.3,12.6,18.8,0.0499243570347958,0.2095515677,0.319,6.6,0.263,0.1554186769,0.2089427355,0.136935992,0.51610962,0.140152654,0.000499602,0.576904468,"Georgia"
"275",12.5,91.1,9.6,1.8,4,8.4,11.5,3.8,0.2,7.5,143.65,8.2,12.3,20.4,0.0370320047102579,0.1459569166,0.287,7.3,0.239,0.1195190251,0.1878892001,0.087018428,0.511495556,0.186602769,0.00065952,0.854430683,"Indiana"
"276",17.3,88.1,13.6,2.2,5.3,9.4,7,1.4,0.1,2.5,141.61,6.7,11.9,25.1,0.0453072177883107,0.1780110696,0.314,6.9,0.282,0.1103647261,0.1988103171,0.093416783,0.51719246,0.16945386,0.000967035,0.800562586,"Indiana"
"277",13.2,89.3,7.6,2.1,4,9.6,5.2,1.1,0.4,3.3,145.97,7.4,14.2,18.3,0.0295702035201399,0.1608371576,0.298,7.7,0.302,0.0878522597,0.1865556075,0.082354808,0.515131835,0.175594606,0.000586105,0.825739494,"Indiana"
"278",10.5,92.7,5,1.4,4.5,8.6,2.5,3.4,0.1,3.6,148.24,6.9,12.1,19.5,0.018562970075212,0.1316805733,0.291,7.9,0.226,0.0948334306,0.1702513917,0.068927875,0.50698767,0.184299557,0.000848743,0.784331276,"Indiana"
"279",16.5,86.9,10.6,1.9,5.2,10.2,5.4,0.6,0.8,3.2,130.4,6.6,13,19.8,0.0562319003570726,0.1797574625,0.333,7.4,0.303,0.118750233,0.2328458958,0.078324932,0.464816208,0.174856742,0.000250962,0.549061052,"Indiana"
"280",22.8,81.4,12,2.1,5.7,11.2,2.6,0.5,0.1,0.6,126.55,8.1,15.1,16.3,0.0974908922982195,0.1779820948,0.356,7.6,0.304,0.1135376676,0.2002435785,0.079177057,0.502973882,0.172533751,0.000510074,0.654082661,"Indiana"
"281",13.8,86.9,11.2,2.4,4.2,8.8,12.9,2.4,0.5,8.7,144.99,7.3,12.7,20.9,0.032499787643433,0.1687632042,0.312,7.1,0.246,0.1145376258,0.2028702125,0.080891306,0.513559807,0.194715935,0.00095738,0.853973499,"Indiana"
"282",13.5,90,7.3,1.5,5.2,9.5,0.7,1.3,0.5,8,137.64,6.1,13.7,19.5,0.0441117160717887,0.159821527,0.343,8.4,0.257,0.1262451344,0.1865748508,0.070881493,0.503995347,0.172562996,0.00043246,0.645259702,"Indiana"
"283",15,88.8,12.1,2.4,4.8,9.2,9.5,1.2,0.1,2.7,143.54,7.3,14,21.3,0.034259064838043,0.1959889365,0.335,7.6,0.281,0.0981351682,0.2180894728,0.090584253,0.51593927,0.181147217,0.000885214,0.897853681,"Indiana"
"284",20.7,80.6,11.2,2.3,4,10.3,0.2,0.5,0.3,2.3,127.59,4.8,14,17.9,0.0502554652818494,0.1868018717,0.324,8,0.358,0.1143031785,0.215240027,0.093081135,0.505478298,0.17261959,0.000421159,0.520036392,"Indiana"
"285",11.1,93.5,10.2,1.8,3.4,7.4,3.1,6.7,0.2,3.4,161.45,5.1,10.4,32.8,0.0190583799015771,0.1692640607,0.227,7.1,0.205,0.1228294065,0.1924178086,0.070935961,0.501635784,0.208593601,0.000615044,0.82555409,"Indiana"
"286",12.8,87.2,8.9,2,4.1,8.2,5.4,1,0.2,15.9,131.89,7.7,11.8,19.1,0.0252967503405332,0.174817903,0.328,8,0.264,0.1617908237,0.2073871035,0.074869306,0.505336611,0.157126524,0.00054061,0.738791956,"Indiana"
"287",15.6,86.9,10.2,2.4,5.2,9.8,1.2,1.4,0.5,15.4,129.11,6.2,14,17.3,0.0632327756553814,0.203861081,0.331,8.7,0.303,0.1468338155,0.2095474497,0.085582998,0.498497865,0.161320902,0.000421285,0.718523841,"Indiana"
"288",13.3,86.7,13,1.6,3.5,7.2,28,3.3,0.3,10.4,144.31,8.8,12,23.9,0.0262918076403364,0.176629989,0.327,6.6,0.265,0.1367816672,0.2143136174,0.091490641,0.518294698,0.192364625,0.000802965,0.871984839,"Indiana"
"289",18.1,86.5,12.1,2.7,5.8,10.3,5.1,1.1,0.4,3,135.04,8,13.9,18,0.0348823101189032,0.1958406044,0.317,7.2,0.321,0.1238904556,0.2148024417,0.08056266,0.516178945,0.169189,0.000582081,0.764992672,"Indiana"
"290",7.3,94.7,7,1.5,2.9,6.9,7.3,6.2,0.2,5.6,168.06,4.6,9.9,31.2,0.00727224646304377,0.1218441805,0.234,7.9,0.177,0.0638610467,0.1444233639,0.065217391,0.503954363,0.24841385,0.001802414,0.908406045,"Iowa"
"291",10.5,87.8,7.4,3.2,6.1,10.2,0.9,0.5,8.4,9.8,133.91,5.2,14.6,15.4,0.0650733554188358,0.1302274418,0.325,8.3,0.292,0.0820157389,0.1596239644,0.084590164,0.503262313,0.194741147,0.00023072,0.750436202,"Iowa"
"292",22.4,75.2,17.1,2.8,6.9,12.2,61.6,0.8,0.7,2.1,127.8,6.4,16.1,18.7,0.120887206979922,0.2352277438,0.369,6.3,0.295,0.1260946907,0.1961167815,0.122766123,0.488516168,0.129651804,0.000247537,0.33488394,"North Carolina"
"293",18.9,80.4,18.8,2,6.2,12.8,34.7,0.1,2.5,7.5,130.54,6.4,15.4,15.5,0.0602591141910214,0.2406417134,0.383,6.6,0.32,0.1655883321,0.2124320044,0.104945718,0.522954269,0.133661518,0.000203975,0.356067065,"North Carolina"
"294",18.8,91.1,7.3,2.3,7.1,14.8,5.3,1.2,0.3,4.3,146.78,4.5,16.8,14.5,0.0316437489212358,0.141470217,0.261,7.6,0.218,0.1325474738,0.1765918449,0.073090482,0.508941791,0.180943831,0.00081302,0.856850562,"North Carolina"
"295",19,83.6,13.8,2.5,6.6,13.2,42.1,0.6,0.2,4,131.92,10.1,16,15.7,0.0573419787393587,0.2163870197,0.398,6.8,0.288,0.123366641,0.1944232311,0.120538327,0.529906784,0.133991148,0.000428137,0.46259947,"North Carolina"
"296",15.5,79.7,14.7,2.3,6.1,11.5,18.4,0.6,0.5,6.1,130.71,6.4,15.6,16.3,0.0441062961737788,0.1843893522,0.35,6.6,0.292,0.131988185,0.1965966589,0.093261868,0.518354797,0.15337823,0.000381438,0.66364811,"North Carolina"
"297",15.2,87.5,10.6,1.8,4.5,9.5,16.3,1.5,0.3,7,136.55,6.7,13.2,18.9,0.0336555289302927,0.1759317568,0.314,6.8,0.309,0.1301137509,0.1807322133,0.095649718,0.517074183,0.159505581,0.000627805,0.775496637,"North Carolina"
"298",15.7,87.3,7.4,3.1,8,12.7,12.4,1.3,0.8,6.7,152.42,5.1,13.5,15.8,0.0283739689102369,0.1503065331,0.266,7.9,0.226,0.1246673204,0.1624922187,0.084697911,0.519566489,0.161239521,0.001038664,0.683615307,"North Carolina"
"299",14.9,87.9,8.7,2.1,5.4,11.2,11.4,1.8,0.5,4.2,133.79,6.7,13.5,18,0.0322190898107128,0.1608882615,0.292,7.8,0.268,0.1280153792,0.1892218743,0.094635193,0.502673093,0.175478593,0.000444708,0.759692993,"North Carolina"
"300",15.7,89.2,7,3.4,6.6,14,11.3,1.5,0.1,12.2,156.29,5.2,14.8,13.3,0.0341814900395138,0.1501713142,0.256,8.5,0.247,0.1508763306,0.1520401131,0.088341618,0.522389713,0.161072398,0.000902324,0.649082749,"North Carolina"
"301",13.4,91,9.2,1.2,3.5,8.3,16,0.6,0.7,13.6,138.49,7.9,12.1,17.8,0.0256568397681016,0.1684059946,0.352,8.3,0.281,0.1370561528,0.1780561112,0.079848149,0.510101854,0.180014762,0.000301627,0.685494854,"North Carolina"
"302",19.6,86.6,11.2,1.9,5.6,11.4,26.3,0.4,0.7,4.3,132.25,6.4,15.7,15.4,0.040499152049004,0.1763954482,0.326,7.1,0.253,0.117378953,0.1911446018,0.087439278,0.515375216,0.151344578,0.000382078,0.584127306,"North Carolina"
"303",23.9,84.1,17.8,2.5,5.9,11.2,39.1,0.5,0.2,7.8,129.15,7.5,15,17.2,0.0339431184793483,0.2078701233,0.359,6.4,0.318,0.1477838804,0.2076700014,0.107297064,0.522658663,0.140650981,0.000481878,0.650256324,"North Carolina"
"304",17.5,94.2,10.5,0.8,2.8,5.3,14,2.2,0.5,12.6,140.9,8.3,7.9,36.1,0.0242812988471442,0.1658140905,0.279,7,0.238,0.0977962929,0.1905877018,0.068586142,0.458094648,0.226175137,0.000332777,0.562996422,"North Carolina"
"305",19.6,81.4,11.8,2.4,6.2,12.5,9.5,0.4,0.4,4.4,133.96,5.4,14.9,15.8,0.0224463532158142,0.1855207406,0.309,6.8,0.275,0.1322921627,0.1928332759,0.089131806,0.517291218,0.155486335,0.000512125,0.617431057,"North Carolina"
